,link,uploaded_date,views,likes,dislikes
0,https://www.youtube.com/watch?v=chtUIhEFZyc,4 Oct 2019,"1,816",39,None
1,https://www.youtube.com/watch?v=QQ_3S-IQm38,15 Feb 2018,"22,735,119","240,727","10,948"
2,https://www.youtube.com/watch?v=bo-LxCpnD2U,17 May 2020,419,26,None
3,https://www.youtube.com/watch?v=XVuNGKnsqUA,21 Jul 2016,"2,335,590","67,927",521
4,https://www.youtube.com/watch?v=eBRnDTDgKss,19 Sep 2020,837,16,None
5,https://www.youtube.com/watch?v=qcv6O-98dmI,7 Mar 2015,"39,106",346,13
6,https://www.youtube.com/watch?v=u9538JcFZMU,28 Jul 2017,"316,423","1,837",154
7,https://www.youtube.com/watch?v=9YF7MAR-WN8,24 May 2012,"301,936",499,115
8,https://www.youtube.com/watch?v=fOMc7u5NGEc,16 Sep 2020,"1,386",15,3
9,https://www.youtube.com/watch?v=PO9Z2VZ9ixE,7 Sep 2018,"8,969,795","132,580","4,373"
10,https://www.youtube.com/watch?v=NOA7d7zNImw,10 Feb 2020,"687,695","4,563",190
11,https://www.youtube.com/watch?v=pVIvO83_Rtc,14 Jun 2017,"92,635,876","203,804","31,853"
12,https://www.youtube.com/watch?v=QPrcmbkIpRk,22 Jun 2019,"213,834",726,147
13,https://www.youtube.com/watch?v=8AxWqsjIngU,20 Dec 2018,"24,121,383","84,836","43,561"
14,https://www.youtube.com/watch?v=wPNQw8naE2Q,22 Mar 2014,"844,784,060","1,568,297","899,231"
15,https://www.youtube.com/watch?v=Z4kDfGf6Y00,12 Apr 2019,"1,833",99,2
16,https://www.youtube.com/watch?v=kt1lgIQW7rY,Premiered on 10 Jul 2019,"843,572","4,834",446
17,https://www.youtube.com/watch?v=tvVmuvBVWgo,14 Jun 2020,"5,508",49,2
18,https://www.youtube.com/watch?v=VxRQW4FGKNc,13 Aug 2018,"151,281,712","510,925","238,990"
19,https://www.youtube.com/watch?v=u9Dg-g7t2l4,8 Dec 2015,"643,018,240","3,850,748","223,698"
20,https://www.youtube.com/watch?v=RMf7OuARCaM,30 Oct 2011,"90,498",726,28
21,https://www.youtube.com/watch?v=HpzjRrfdZoY,11 Mar 2018,"3,935,410","56,234","2,641"
22,https://www.youtube.com/watch?v=VmP8RET6Bi0,14 Aug 2020,"130,073","2,787",375
23,https://www.youtube.com/watch?v=FMr2lLjW85o,6 Feb 2020,"814,793","14,938",143
24,https://www.youtube.com/watch?v=pTn-kJxAWrs,18 Jan 2018,"3,216",66,3
25,https://www.youtube.com/watch?v=avJeEM0V2-c,10 Jul 2020,615,33,None
26,https://www.youtube.com/watch?v=copoFFyD0gs,13 Aug 2019,"9,302",154,7
27,https://www.youtube.com/watch?v=z9yqXzPLUNg,30 Mar 2019,"2,842,937","5,468","3,067"
28,https://www.youtube.com/watch?v=4LryRV4KQCs,25 Aug 2018,"18,445,746","859,486","11,992"
29,https://www.youtube.com/watch?v=1sj0fr5I1H0,27 Oct 2017,"1,449",4,4
30,https://www.youtube.com/watch?v=RwLbg7uf5g0,1 Jul 2016,"5,062",32,5
31,https://www.youtube.com/watch?v=RBPU8p35xv4,16 Apr 2020,902,34,2
32,https://www.youtube.com/watch?v=WRxfnoonqJU,9 Jul 2020,"134,536","1,148",148
33,https://www.youtube.com/watch?v=4kWKpdh9BvI,28 Sep 2020,121,7,1 dislike
34,https://www.youtube.com/watch?v=QO8N9vkqYt8,9 Sep 2017,"2,845",33,13
35,https://www.youtube.com/watch?v=bCumY_Q3Cvs,11 Jan 2018,"1,437,814","9,625",931
36,https://www.youtube.com/watch?v=cLX8eUyxJAI,19 Dec 2017,"67,376","2,150",95
37,https://www.youtube.com/watch?v=P9FvLDtNP2w,7 Jul 2019,"22,311",601,70
38,https://www.youtube.com/watch?v=CKULwce4XmA,12 Jan 2017,"24,528,616","34,434","19,728"
39,https://www.youtube.com/watch?v=DjYU_bPlRao,11 May 2012,"56,510,262","50,551","23,997"
40,https://www.youtube.com/watch?v=Ar27BWNHgmA,31 Mar 2016,"3,262",18,1 dislike
41,https://www.youtube.com/watch?v=Ec0d9_Ps8p8,15 Apr 2016,"149,750,361","420,490","237,867"
42,https://www.youtube.com/watch?v=KFfuQOgRsXk,20 Mar 2020,"3,919",94,6
43,https://www.youtube.com/watch?v=JPOO_WYRcAI,6 Nov 2017,"43,283",496,9
44,https://www.youtube.com/watch?v=FUstnlQzd3I,29 May 2018,"55,514",682,57
45,https://www.youtube.com/watch?v=9maz-P4BEPc,20 Jul 2016,"3,037,946","79,897",731
46,https://www.youtube.com/watch?v=AhovTR_NI7g,29 Aug 2019,10,1 like,None
47,https://www.youtube.com/watch?v=DUJkWyuhK3U,Premiered 9 hours ago,103,10,None
48,https://www.youtube.com/watch?v=wJuZ7GgHPxw,20 Jan 2019,"5,398",181,17
49,https://www.youtube.com/watch?v=IuFHkANRuu0,13 Jan 2020,"55,065","2,081",68
50,https://www.youtube.com/watch?v=JYjcZqLN_gc,19 Dec 2017,27,3,1 dislike
51,https://www.youtube.com/watch?v=IxJmrHO3WJo,8 Aug 2020,"114,883","6,957",74
52,https://www.youtube.com/watch?v=zPwnW-p3B9o,24 May 2020,"13,533",231,7
53,https://www.youtube.com/watch?v=kNvpzHpLfrg,27 Sep 2020,"2,262",268,2
54,https://www.youtube.com/watch?v=TjzZsclieZs,19 Jan 2013,"51,481",93,46
55,https://www.youtube.com/watch?v=LjxulQ1bEWg,15 May 2018,"1,040,783,673","5,321,616","306,753"
56,https://www.youtube.com/watch?v=tHv7zyeGKJY,11 Dec 2019,257,1 like,None
